# tau_us,P_x
1.429999999999999938e+00,9.353875705352295844e-01
1.435000000000000053e+00,9.227387311777578427e-01
1.439999999999999947e+00,9.444299959020872048e-01
1.445000000000000062e+00,9.841561215058436396e-01
1.449999999999999956e+00,9.952322527113083295e-01
1.455000000000000071e+00,9.268652965847569147e-01
1.459999999999999964e+00,7.620506080002920068e-01
1.465000000000000080e+00,5.380031195094631125e-01
1.469999999999999973e+00,3.320232124039560473e-01
1.475000000000000089e+00,2.241348142778468167e-01
1.479999999999999982e+00,2.574211141165490546e-01
1.485000000000000098e+00,4.153314810201884644e-01
1.489999999999999991e+00,6.316382545987105912e-01
1.495000000000000107e+00,8.281277318445314783e-01
1.500000000000000000e+00,9.531000814154650946e-01
1.505000000000000115e+00,9.982879215005874274e-01
1.510000000000000009e+00,9.907639259305570656e-01
1.515000000000000124e+00,9.692797666471093532e-01
1.520000000000000018e+00,9.606761929626970176e-01
1.525000000000000133e+00,9.700355160289072520e-01
1.530000000000000027e+00,9.867954623949513060e-01
1.535000000000000142e+00,9.981920816753990788e-01
1.540000000000000036e+00,9.993100608168734578e-01
1.544999999999999929e+00,9.941990164153798881e-01
1.550000000000000044e+00,9.900335516432504646e-01
1.554999999999999938e+00,9.907341240499822899e-01
1.560000000000000053e+00,9.949976566586713478e-01
1.564999999999999947e+00,9.989244631629887738e-01
1.570000000000000062e+00,9.999048778511825386e-01
1.574999999999999956e+00,9.983713352658649676e-01
1.580000000000000071e+00,9.966146690920727469e-01
1.584999999999999964e+00,9.964261434938377349e-01
1.590000000000000080e+00,9.977834854853704361e-01
1.594999999999999973e+00,9.993601165013275001e-01
1.600000000000000089e+00,9.999638530263439407e-01
1.604999999999999982e+00,9.994893252752987678e-01
1.610000000000000098e+00,9.987305451989414440e-01
1.614999999999999991e+00,9.985003085487273999e-01
1.620000000000000107e+00,9.989547803574587714e-01
1.625000000000000000e+00,9.996281010498204722e-01
1.630000000000000115e+00,9.999744004407388198e-01
1.635000000000000009e+00,9.998446129021623108e-01
1.640000000000000124e+00,9.995169905653051856e-01
1.645000000000000018e+00,9.993621678387250018e-01
1.650000000000000133e+00,9.995099342242417251e-01
1.655000000000000027e+00,9.997981185990962860e-01
1.660000000000000142e+00,9.999807706727787959e-01
1.665000000000000036e+00,9.999576848623934477e-01
1.669999999999999929e+00,9.998243565152156176e-01
1.675000000000000044e+00,9.997425748410981861e-01
1.679999999999999938e+00,9.997862904556460428e-01
1.685000000000000053e+00,9.999015341095556231e-01
1.689999999999999947e+00,9.999862502888492433e-01
1.695000000000000062e+00,9.999903041418747307e-01
1.699999999999999956e+00,9.999440209383760880e-01
1.705000000000000071e+00,9.999099239678492790e-01
1.709999999999999964e+00,9.999205696639829055e-01
1.715000000000000080e+00,9.999600417542047204e-01
1.719999999999999973e+00,9.999923774184711345e-01
1.725000000000000089e+00,9.999984325555872910e-01
1.729999999999999982e+00,9.999867469252721186e-01
1.735000000000000098e+00,9.999770694680957250e-01
1.739999999999999991e+00,9.999796291742470977e-01
1.745000000000000107e+00,9.999898260848876230e-01
1.750000000000000000e+00,9.999979549402169265e-01
1.755000000000000115e+00,9.999999389786137227e-01
1.760000000000000009e+00,9.999986759075689680e-01
1.765000000000000124e+00,9.999981529433007443e-01
1.770000000000000018e+00,9.999990411770385279e-01
1.775000000000000133e+00,9.999998554665837647e-01
1.780000000000000027e+00,9.999999990513230852e-01
1.785000000000000142e+00,9.999999928541681848e-01
1.790000000000000036e+00,9.999996484503896887e-01
1.794999999999999929e+00,9.999981198280900596e-01
1.800000000000000044e+00,9.999960806222237819e-01
1.804999999999999938e+00,9.999958462431381978e-01
1.810000000000000053e+00,9.999978343379940515e-01
1.814999999999999947e+00,9.999983326684038776e-01
1.820000000000000062e+00,9.999934659624133415e-01
1.824999999999999956e+00,9.999853921624760611e-01
1.830000000000000071e+00,9.999813541071720380e-01
1.834999999999999964e+00,9.999845213134004318e-01
1.840000000000000080e+00,9.999883344524538309e-01
1.844999999999999973e+00,9.999840032924038891e-01
1.850000000000000089e+00,9.999728764321320629e-01
1.854999999999999982e+00,9.999656903677816011e-01
1.860000000000000098e+00,9.999669619387623332e-01
1.864999999999999991e+00,9.999661930821307498e-01
1.870000000000000107e+00,9.999524112205540050e-01
1.875000000000000000e+00,9.999346938038514709e-01
1.880000000000000115e+00,9.999350304358758379e-01
1.885000000000000009e+00,9.999540305312596411e-01
1.890000000000000124e+00,9.999566274825952839e-01
1.895000000000000018e+00,9.999120525505769130e-01
1.900000000000000133e+00,9.998476034545056290e-01
1.905000000000000027e+00,9.998351122170433536e-01
1.910000000000000142e+00,9.999005445126708524e-01
1.915000000000000036e+00,9.999630682515763258e-01
1.919999999999999929e+00,9.999087635033276911e-01
1.925000000000000044e+00,9.997430729645606640e-01
1.929999999999999938e+00,9.996281847532669795e-01
1.935000000000000053e+00,9.997093997595519754e-01
1.939999999999999947e+00,9.999052307513214277e-01
1.945000000000000062e+00,9.999461872031849552e-01
1.949999999999999956e+00,9.996873645352097881e-01
1.955000000000000071e+00,9.993426447318571881e-01
1.959999999999999964e+00,9.992929093741264035e-01
1.965000000000000080e+00,9.996118586420490448e-01
1.969999999999999973e+00,9.998832391182295165e-01
1.975000000000000089e+00,9.996406380591225105e-01
1.979999999999999982e+00,9.989917538629129456e-01
1.985000000000000098e+00,9.986171044250643503e-01
1.989999999999999991e+00,9.989821506049949562e-01
1.995000000000000107e+00,9.996389667968992310e-01
2.000000000000000000e+00,9.996034017774464431e-01
2.004999999999999893e+00,9.985698898022201675e-01
2.010000000000000231e+00,9.974966228242233557e-01
2.015000000000000124e+00,9.975872068048432517e-01
2.020000000000000018e+00,9.986582366662537513e-01
2.024999999999999911e+00,9.990210636707927971e-01
2.030000000000000249e+00,9.975037578780525660e-01
2.035000000000000142e+00,9.952942249551639531e-01
2.040000000000000036e+00,9.947587757379758866e-01
2.044999999999999929e+00,9.957407205779171822e-01
2.049999999999999822e+00,9.935976624784487177e-01
2.055000000000000160e+00,9.829739998265493162e-01
2.060000000000000053e+00,9.650363817065682470e-01
2.064999999999999947e+00,9.495108564634167081e-01
2.069999999999999840e+00,9.473264539301237130e-01
2.075000000000000178e+00,9.604392129354550889e-01
2.080000000000000071e+00,9.782209599532696309e-01
2.084999999999999964e+00,9.856719172126721107e-01
2.089999999999999858e+00,9.790957691604826874e-01
2.095000000000000195e+00,9.715809162329378523e-01
2.100000000000000089e+00,9.775537303254681065e-01
2.104999999999999982e+00,9.927716426750869960e-01
2.109999999999999876e+00,9.940776089011029715e-01
2.115000000000000213e+00,9.635905656323728863e-01
2.120000000000000107e+00,9.162849442930249833e-01
2.125000000000000000e+00,8.963255136927753552e-01
2.129999999999999893e+00,9.320742151140825049e-01
2.135000000000000231e+00,9.892308043716977473e-01
2.140000000000000124e+00,9.746809316543304513e-01
2.145000000000000018e+00,8.043740263923834233e-01
2.149999999999999911e+00,4.910298065373764898e-01
2.155000000000000249e+00,1.705779350080334211e-01
2.160000000000000142e+00,2.193289552757149430e-02
2.165000000000000036e+00,1.370955117453905303e-01
2.169999999999999929e+00,4.518679575999909881e-01
