tau_us,P_x,baseline
1.3800048828125,0.8832980452872338,0.9021924246481667
1.3850911458333337,0.9010752773536406,0.9019576086748405
1.3901774088541667,0.9017222137800075,0.9017222137800075
1.395263671875,0.9014862724793555,0.9014862724793555
1.4003499348958337,0.9012498192917029,0.9012498192917029
1.4054361979166667,0.901012891510505,0.901012891510505
1.4105224609375,0.9007755299199707,0.9007755299199707
1.4156087239583337,0.9005377790230727,0.9005377790230727
1.4206949869791667,0.8554154467189408,0.9002996856661745
1.42578125,0.84869889290843,0.9000612977970681
1.4308675130208337,0.8787998705475742,0.899822662914704
1.4359537760416667,0.899583828004408,0.899583828004408
1.4410400390625,0.8744720113186695,0.899344839841278
1.4461263020833337,0.8636783905153913,0.8991057465967244
1.4512125651041667,0.8607571282304864,0.8988665961934288
1.456298828125,0.8702148646396358,0.8986274361997997
1.4613850911458337,0.8552587864341806,0.8983883138031505
1.4664713541666667,0.8591782880135135,0.8981492759066694
1.4715576171875,0.8860181488920789,0.8979103689822489
1.4766438802083337,0.8976716391120718,0.8976716391120718
1.4817301432291667,0.8848221590242298,0.8974331322593987
1.48681640625,0.8519037369904491,0.8971948946815183
1.4919026692708337,0.8620361113033946,0.8969569725096095
1.4969889322916667,0.8948837523106595,0.8967194114219398
1.5020751953125,0.8964822567475681,0.8964822567475681
1.5071614583333337,0.8962455537971967,0.8962455537971967
1.5122477213541667,0.872006141024722,0.8960093491687828
1.517333984375,0.8203137630373003,0.8957736897161175
1.5224202473958337,0.8176832429534128,0.8955386220529593
1.5275065104166667,0.8595435460948605,0.8953041920384679
1.5325927734375,0.8950704447532492,0.8950704447532492
1.5376790364583337,0.8948374249203023,0.8948374249203023
1.5427652994791667,0.8946051825909382,0.8946051825909382
1.5478515625,0.8750204763022686,0.8943737742486877
1.5529378255208337,0.8809576100173048,0.8941432605153896
1.5580240885416667,0.8843998425503479,0.8939137018193504
1.5631103515625,0.8936851584570199,0.8936851584570199
1.5681966145833337,0.8907139749118781,0.8934576906297091
1.5732828776041667,0.8932313602538011,0.8932313602538011
1.578369140625,0.8888156951097169,0.8930062292182418
1.5834554036458337,0.8927823603532133,0.8927823603532133
1.5885416666666667,0.8925598164469926,0.8925598164469926
1.5936279296875,0.8811950191425335,0.8923386642414272
1.5987141927083337,0.8637811405616794,0.8921189720170469
1.6038004557291667,0.8919008079429449,0.8919008079429449
1.60888671875,0.8538723653896396,0.891684239904836
1.6139729817708337,0.8427849222398475,0.8914693364129079
1.6190592447916667,0.8626105706394906,0.8912561655992297
1.6241455078125,0.8900028585680936,0.8910447951090261
1.6292317708333337,0.820483391333206,0.8908352923010663
1.6343180338541667,0.806861168695077,0.8906277245236998
1.639404296875,0.8625774681221068,0.8904221584217572
1.6444905598958337,0.8902186598024037,0.8902186598024037
1.6495768229166667,0.8488338779950003,0.8900172941943575
1.6546630859375,0.8256561389017786,0.8898181281486585
1.6597493489583337,0.8298227309896229,0.8896212278045122
1.6648356119791667,0.8555381199402625,0.8894266586595049
1.669921875,0.8594307990702174,0.889234485613237
1.6750081380208337,0.8744816393748271,0.8890447732264242
1.6800944010416667,0.8233736978088119,0.8888575857617451
1.6851806640625,0.8201056356819999,0.8886729873362469
1.6902669270833337,0.8613024733989638,0.8884910414121383
1.6953531901041667,0.8323440513564596,0.8883118107659541
1.700439453125,0.8191463193768521,0.8881353579023437
1.7055257161458337,0.8190230896377257,0.8879617447662789
1.7106119791666667,0.8327014623368096,0.8877910326128411
1.7156982421875,0.7900489484473928,0.8876232820077251
1.7207845052083337,0.7771663833797944,0.8874585529657302
1.7258707682291667,0.8131999518770454,0.8872969045259123
1.73095703125,0.8211832056543319,0.8871383946244055
1.7360432942708337,0.8221223572437654,0.8869830804563744
1.7411295572916667,0.8067637794136232,0.886831018557432
1.7462158203125,0.771619671583292,0.8866822648145838
1.7513020833333337,0.6976277906146268,0.8865368743141632
1.7563883463541667,0.5859843981593109,0.8863949009918775
1.761474609375,0.4565595690258023,0.8862563968943432
1.7665608723958337,0.31523873886128206,0.886121411064072
1.7716471354166667,0.2369287421811468,0.8859899882466072
1.7767333984375,0.27125079508015226,0.8858621674786654
1.7818196614583337,0.3583469148286244,0.8857379813063506
1.7869059244791667,0.4834635108591218,0.8856174561296533
1.7919921875,0.5399380056051869,0.8855006130746531
1.7970784505208337,0.5249129239907674,0.8853874692458903
1.8021647135416667,0.49443667417203424,0.8852780382922791
1.8072509765625,0.41888770153422916,0.8851723302579881
1.8123372395833337,0.38698963739397807,0.8850703512787726
1.8174235026041667,0.4297411554587705,0.8849721028275415
1.822509765625,0.520861016092884,0.8848775813963965
1.8275960286458337,0.49594304192451905,0.88478677892513
1.8326822916666667,0.47632252761267224,0.884699683713369
1.8377685546875,0.4501295166481755,0.8846162801723028
1.8428548177083337,0.47077536084979554,0.8845365486293494
1.8479410807291667,0.4614646214384202,0.8844604650670591
1.85302734375,0.474845671488923,0.8843880013303705
1.8581136067708337,0.4706100661895204,0.8843191250342637
1.8631998697916667,0.48892465805990437,0.8842537996982955
1.8682861328125,0.49584560722585663,0.8841919847049322
1.8733723958333337,0.4807336005699281,0.8841336354833484
1.8784586588541667,0.475300338954387,0.8840787035792554
1.883544921875,0.4560302700414958,0.8840271365043639
1.8886311848958337,0.4513221044036866,0.8839788776826007
1.8937174479166667,0.44408616598076456,0.8839338662579245
1.8988037109375,0.48742972609234647,0.8838920370477258
1.9038899739583337,0.5166850883916548,0.8838533204709182
1.9089762369791667,0.5594490264780294,0.8838176429817923
1.9140625,0.5774585430081145,0.8837849273629563
1.9191487630208337,0.6223852339741217,0.883755093153332
1.9242350260416667,0.5869295601136365,0.8837280568285777
1.9293212890625,0.5618833226231696,0.883703732250653
1.9344075520833337,0.4804479017172833,0.8836820303135325
1.9394938151041667,0.4380703325364987,0.8836628586929869
1.944580078125,0.4227927327897645,0.8836461210324453
1.9496663411458337,0.4628223971284783,0.8836317165194121
1.9547526041666667,0.5335142768252927,0.8836195397328575
1.9598388671875,0.6524955166216999,0.8836094810436583
1.9649251302083337,0.7498616146506988,0.8836014273216393
1.9700113932291667,0.7702302504159864,0.8835952631254853
1.97509765625,0.7915411439007735,0.8835908716764829
1.9801839192708337,0.8388271775383881,0.883588135062269
1.9852701822916667,0.8835869344499828,0.8835869344499828
1.9903564453125,0.8835871505591543,0.8835871505591543
1.9954427083333337,0.8835886651834236,0.8835886651834236
2.000528971354167,0.8818304899094027,0.8835913636614855
